ERI Job Id,Position,Database,Category,No. of Incumbents,Mean,10th Percentile,25th Percentile,Median,75th Percentile,90th Percentile,Rate of Error
1,Chief Executive Officer,Public Databases,Annual Salary,," 211,702 "," 74,694 "," 145,476 "," 209,409 "," 315,161 "," 419,865 ",
1,Chief Executive Officer,Public Databases,Incentive/Variable Pay,," 154,354 "," 54,519 "," 102,727 "," 152,848 "," 231,148 "," 306,459 ",
1,Chief Executive Officer,Public Databases,Total Direct Annual Compensation,," 366,056 "," 129,213 "," 248,203 "," 362,257 "," 546,309 "," 726,324 ",0.5
1,Chief Executive Officer,ERI Assessor Databases,Annual Salary,," 439,778 "," 213,183 "," 317,180 "," 435,068 "," 588,321 "," 723,517 ",
1,Chief Executive Officer,ERI Assessor Databases,Incentive/Variable Pay,," 261,969 "," 127,081 "," 189,076 "," 259,349 "," 350,706 "," 431,298 ",
1,Chief Executive Officer,ERI Assessor Databases,Total Direct Annual Compensation,," 701,747 "," 340,264 "," 506,256 "," 694,417 "," 939,027 "," 1,154,815 ",
1,Chief Executive Officer,Survey Participant Databases,Annual Salary,," 416,519 "," 84,062 "," 198,928 "," 318,352 "," 1,081,472 "," 1,815,464 ",
1,Chief Executive Officer,Survey Participant Databases,Incentive/Variable Pay,," 296,545 "," 1,305 "," 5,363 "," 9,583 "," 2,767,008 "," 5,419,184 ",
1,Chief Executive Officer,Survey Participant Databases,Total Direct Annual Compensation,224," 713,064 "," 85,367 "," 204,291 "," 327,935 "," 3,848,480 "," 7,234,648 ",4.4
5,Chief Human Resources Officer,Public Databases,Annual Salary,," 283,454 "," 142,060 "," 200,562 "," 280,447 "," 422,073 "," 562,296 ",
5,Chief Human Resources Officer,Public Databases,Incentive/Variable Pay,," 50,304 "," 25,244 "," 37,301 "," 49,835 "," 75,365 "," 99,919 ",
5,Chief Human Resources Officer,Public Databases,Total Direct Annual Compensation,," 333,758 "," 167,304 "," 237,863 "," 330,282 "," 497,438 "," 662,215 ",0.3
5,Chief Human Resources Officer,ERI Assessor Databases,Annual Salary,," 218,581 "," 121,012 "," 165,577 "," 216,093 "," 281,765 "," 339,698 ",
5,Chief Human Resources Officer,ERI Assessor Databases,Incentive/Variable Pay,," 54,229 "," 30,065 "," 41,136 "," 53,687 "," 70,002 "," 84,396 ",
5,Chief Human Resources Officer,ERI Assessor Databases,Total Direct Annual Compensation,," 272,810 "," 151,077 "," 206,713 "," 269,780 "," 351,767 "," 424,094 ",
5,Chief Human Resources Officer,Survey Participant Databases,Annual Salary,," 253,972 "," 25,770 "," 125,898 "," 230,000 "," 560,098 "," 877,596 ",
5,Chief Human Resources Officer,Survey Participant Databases,Incentive/Variable Pay,," 187,664 "," 2,400 "," 59,313 "," 118,485 "," 641,634 "," 1,144,814 ",
5,Chief Human Resources Officer,Survey Participant Databases,Total Direct Annual Compensation,129," 441,636 "," 28,170 "," 185,211 "," 348,485 "," 1,201,732 "," 2,022,410 ",4
6,Chief Financial Officer,Public Databases,Annual Salary,," 326,324 "," 158,664 "," 229,691 "," 322,889 "," 485,948 "," 647,392 ",
6,Chief Financial Officer,Public Databases,Incentive/Variable Pay,," 71,915 "," 35,001 "," 52,763 "," 71,229 "," 107,718 "," 142,814 ",
6,Chief Financial Officer,Public Databases,Total Direct Annual Compensation,," 398,239 "," 193,665 "," 282,454 "," 394,118 "," 593,666 "," 790,206 ",0.3
6,Chief Financial Officer,ERI Assessor Databases,Annual Salary,," 282,266 "," 145,150 "," 207,949 "," 279,135 "," 371,677 "," 453,315 ",
6,Chief Financial Officer,ERI Assessor Databases,Incentive/Variable Pay,," 114,742 "," 59,069 "," 84,625 "," 113,595 "," 151,255 "," 184,478 ",
6,Chief Financial Officer,ERI Assessor Databases,Total Direct Annual Compensation,," 397,008 "," 204,219 "," 292,574 "," 392,730 "," 522,932 "," 637,793 ",
6,Chief Financial Officer,Survey Participant Databases,Annual Salary,," 265,538 "," 75,476 "," 156,983 "," 241,724 "," 539,532 "," 825,972 ",
6,Chief Financial Officer,Survey Participant Databases,Incentive/Variable Pay,," 130,408 "," 2,400 "," 6,180 "," 10,109 "," 1,265,825 "," 2,473,612 ",
6,Chief Financial Officer,Survey Participant Databases,Total Direct Annual Compensation,222," 395,946 "," 77,876 "," 163,163 "," 251,833 "," 1,805,357 "," 3,299,584 ",4
52,Operations Manager,Public Databases,Annual Salary,," 93,682 "," 55,085 "," 70,619 "," 92,570 "," 122,655 "," 140,706 ",
52,Operations Manager,Public Databases,Incentive/Variable Pay,,  ," 6,632 "," 8,845 "," 11,145 "," 14,100 "," 16,941 ",
52,Operations Manager,Public Databases,Total Direct Annual Compensation,," 93,682 "," 61,717 "," 79,464 "," 103,715 "," 136,755 "," 157,647 ",
52,Operations Manager,ERI Assessor Databases,Annual Salary,," 118,396 "," 95,715 "," 105,662 "," 116,953 "," 131,595 "," 144,526 ",
52,Operations Manager,ERI Assessor Databases,Incentive/Variable Pay,," 8,391 "," 6,811 "," 7,512 "," 8,306 "," 9,340 "," 10,251 ",
52,Operations Manager,ERI Assessor Databases,Total Direct Annual Compensation,," 126,787 "," 102,526 "," 113,174 "," 125,259 "," 140,935 "," 154,777 ",
52,Operations Manager,Survey Participant Databases,Annual Salary,," 81,260 "," 33,771 "," 50,476 "," 67,844 "," 206,039 "," 338,958 ",
52,Operations Manager,Survey Participant Databases,Incentive/Variable Pay,," 12,458 ", 193 ," 5,148 "," 10,300 "," 44,224 "," 76,852 ",
52,Operations Manager,Survey Participant Databases,Total Direct Annual Compensation,"1,602"," 93,718 "," 33,964 "," 55,624 "," 78,144 "," 250,263 "," 415,810 ",1.3
91,Customer Service Manager,Public Databases,Annual Salary,," 102,610 "," 62,210 "," 77,822 "," 101,407 "," 134,066 "," 153,662 ",
91,Customer Service Manager,Public Databases,Incentive/Variable Pay,,  ," 4,224 "," 5,529 "," 6,886 "," 8,694 "," 10,433 ",
91,Customer Service Manager,Public Databases,Total Direct Annual Compensation,," 102,610 "," 66,434 "," 83,351 "," 108,293 "," 142,760 "," 164,095 ",
91,Customer Service Manager,ERI Assessor Databases,Annual Salary,," 100,956 "," 83,575 "," 91,123 "," 99,693 "," 110,800 "," 120,610 ",
91,Customer Service Manager,ERI Assessor Databases,Incentive/Variable Pay,," 8,429 "," 7,009 "," 7,634 "," 8,344 "," 9,265 "," 10,080 ",
91,Customer Service Manager,ERI Assessor Databases,Total Direct Annual Compensation,," 109,385 "," 90,584 "," 98,757 "," 108,037 "," 120,065 "," 130,690 ",
